Sno,Entity,Code,Year,Population,Electricity Consumption(GWh),Renewable Energy(%),No. of Renewable Energy Sources,Cars per 1000 People
0,Germany,DEU,2000,82175700,512342,9.8,504550,500
1,Germany,DEU,2001,82266300,520240,11.2,581924,510
2,Germany,DEU,2002,82376400,528439,13.5,699878,520
3,Germany,DEU,2003,82469400,538241,15.9,832047,530
4,Germany,DEU,2004,82516200,547943,18.3,1005230,540
5,Germany,DEU,2005,82469400,555843,20.7,1149556,550
6,Germany,DEU,2006,82376400,564538,23.1,1300924,560
7,Germany,DEU,2007,82307000,573241,25.5,1478960,570
8,Germany,DEU,2008,82239700,581942,28.0,1667398,580
9,Germany,DEU,2009,82154100,590341,30.4,1857204,590
10,Germany,DEU,2010,82096750,598243,32.8,2053000,600
